T,Po,P,Pa,U,Ff,ff10,ff3,Tn,Tx,Td,tR,Tg,t
12.545890410958904,743.395205479452,761.3445205479452,0.1798611111111111,78.83333333333333,2.3493150684931505,12.0,10.777777777777779,9.299999999999999,16.658823529411762,8.672916666666667,12.0,9.526315789473685,-11.0
-1.0575342465753426,730.8627586206896,749.4331034482759,-0.026760563380281696,94.91095890410959,3.8424657534246576,10.875,11.157894736842104,-3.21,-0.29444444444444445,-1.7863013698630137,12.0,7.799509462612262,0.0
-27.423287671232877,738.3354166666667,759.3243055555555,0.01,76.21917808219177,0.9041095890410958,10.817173871040186,11.16056246969491,-30.03636363636364,-24.677777777777777,-30.335616438356166,12.0,7.799509462612262,-20.0
-6.238620689655172,753.6786206896551,773.291724137931,-0.2640845070422535,75.37241379310345,2.1241379310344826,10.817173871040186,11.16056246969491,-10.41,-0.4722222222222222,-10.277397260273972,12.0,7.799509462612262,-16.0
15.377397260273971,738.9683098591549,756.580985915493,-0.24890510948905112,90.4931506849315,2.0,10.817173871040186,10.5,14.072727272727274,17.272222222222222,13.772602739726027,12.0,15.105263157894736,-10.0
17.770833333333332,739.2249999999999,757.6861111111111,0.47777777777777775,73.77777777777777,3.0555555555555554,10.5,11.0,13.588888888888889,22.48888888888889,12.45138888888889,12.0,13.555555555555555,-27.0
-3.011111111111111,744.0069444444445,764.1013888888889,-0.7833333333333333,92.08333333333333,2.75,10.0,10.5,-5.788888888888888,-1.4777777777777779,-4.156944444444445,12.0,7.799509462612262,-10.0
-19.454794520547946,750.8938356164383,771.4938356164384,1.7951388888888888,80.47945205479452,1.86986301369863,10.817173871040186,11.16056246969491,-20.37297297297297,-17.429411764705883,-22.00205479452055,12.0,7.799509462612262,-18.0
-3.758219178082192,761.918493150685,781.5616438356165,0.7847222222222222,53.58904109589041,3.0821917808219177,10.8,12.973684210526315,-7.7846153846153845,0.5,-12.14041095890411,12.0,7.799509462612262,1.0
-3.334246575342466,733.6602739726027,752.5486301369864,0.20555555555555555,84.29452054794521,4.945205479452055,12.075,12.533333333333333,-6.15,1.1111111111111112,-5.723287671232877,12.0,7.799509462612262,-5.0
11.786013986013987,735.6622377622377,753.7524475524476,-0.7028571428571428,84.21678321678321,1.6923076923076923,10.817173871040186,11.16056246969491,6.8842105263157904,15.894444444444446,9.005594405594405,12.0,8.473684210526315,5.0
-3.894444444444444,737.973611111111,757.9583333333334,-0.6333333333333333,90.15277777777777,2.9444444444444446,10.817173871040186,11.16056246969491,-3.8,-3.2333333333333334,-5.323611111111111,12.0,7.799509462612262,12.0
13.962328767123287,741.1191780821918,759.0,0.32569444444444445,60.14383561643836,2.4383561643835616,11.25,11.484848484848484,6.609999999999999,20.88888888888889,4.951369863013698,12.0,5.65,12.0
11.354109589041096,743.3664383561644,761.4746575342466,0.16319444444444445,77.47260273972603,2.643835616438356,10.916666666666666,12.085714285714285,6.309523809523809,17.235294117647058,7.187671232876713,12.0,6.35,12.0
23.673287671232877,746.6356164383562,764.0417808219179,0.0148936170212766,58.84931506849315,1.4794520547945205,10.817173871040186,11.142857142857142,15.59,31.122222222222224,14.052054794520547,12.0,14.777777777777779,26.0
-9.532876712328767,739.6655172413793,759.1820689655171,0.2683098591549296,86.04137931034482,3.1575342465753424,10.75,10.571428571428571,-8.173076923076923,-5.533333333333333,-11.449655172413793,12.0,7.799509462612262,25.0
13.694520547945206,739.7089041095891,757.5537931034482,0.06944444444444445,74.95205479452055,1.8287671232876712,10.0,11.285714285714286,9.33,18.555555555555557,8.883561643835616,12.0,9.8,15.0
10.708333333333334,732.8218309859154,750.7697183098592,-0.022627737226277377,77.39583333333333,2.6041666666666665,10.5,12.136363636363637,8.399999999999999,15.894444444444446,6.370833333333334,12.0,9.0625,15.0
13.519444444444444,741.4722222222222,760.2791666666667,0.575,73.01388888888889,2.4722222222222223,10.0,10.0,10.244444444444445,17.91111111111111,8.168055555555556,12.0,10.555555555555555,15.0
17.775342465753422,739.9808219178082,757.5561643835616,0.13216783216783218,75.76712328767124,2.5342465753424657,10.571428571428571,11.162790697674419,13.235,24.227777777777778,12.758904109589041,12.0,12.9,18.0
24.652054794520545,745.4349315068494,762.727397260274,-0.10555555555555556,66.33561643835617,2.0136986301369864,10.817173871040186,10.0,16.61,31.83888888888889,17.156849315068495,12.0,15.65,31.0
25.22671232876712,741.6164383561644,758.7657534246575,-0.061764705882352944,64.26027397260275,2.095890410958904,14.6,13.736842105263158,20.22,31.394444444444446,17.48904109589041,12.0,19.1,32.0
17.982876712328768,742.422602739726,760.067808219178,0.08888888888888889,84.84931506849315,2.2260273972602738,11.5,12.25,15.826086956521738,21.37222222222222,15.213013698630137,12.153846153846153,17.15,19.0
19.234931506849318,741.5701388888889,759.0930555555556,-0.2147887323943662,76.8013698630137,1.547945205479452,10.817173871040186,11.16056246969491,14.394736842105264,24.441176470588236,14.773287671232877,11.842105263157896,15.05,20.0
23.136301369863013,739.4683098591549,756.6338028169014,-0.2708029197080292,64.43835616438356,1.952054794520548,10.817173871040186,11.16056246969491,15.830000000000002,29.144444444444446,15.354794520547946,12.0,15.5,25.0
-26.88896551724138,741.1095890410959,762.0310344827586,1.3590277777777777,73.92307692307692,2.5586206896551724,10.817173871040186,10.75,-25.892105263157895,-24.76111111111111,-30.19097222222222,12.0,7.799509462612262,10.0
-18.19931506849315,737.9337931034482,758.0655172413793,-1.0683098591549296,81.63698630136986,1.3835616438356164,10.817173871040186,10.0,-21.70625,-13.633333333333333,-20.60684931506849,12.0,7.799509462612262,12.0
6.333561643835616,745.8938356164383,764.4369863013699,-0.3715277777777778,39.13013698630137,2.6232876712328768,10.0,10.4,-0.5549999999999999,12.227777777777778,-7.8191780821917805,12.0,-1.05,11.0
8.004794520547945,734.7868965517242,752.9273972602739,0.4809859154929577,78.89041095890411,3.3835616438356166,10.909090909090908,11.176470588235293,4.755,11.700000000000001,4.332191780821918,12.0,5.75,7.0
